TIME,FIXED_CYCLES,FIXED_INSTRUCTIONS,L1D_CACHE_MISS_ST,L1D_CACHE_MISS_LD,BRANCH_MISPRED_NONSPEC
471082208,292770,709369,765,3178,676
471082333,455066,994447,36126,14843,252
471082375,291590,718542,590,3302,611
472080750,648848,1618667,43344,14292,714
472080791,71523,98258,4568,1664,2
472081166,468340,1611254,1936,4844,1441
473081166,1358013,4304193,64355,26112,3591
473081208,344664,1112038,3147,3411,884
473081500,158056,526730,1040,1952,409
473082166,106984,260730,249,1284,272
473082250,5709,5020,0,0,0
474080583,36114,109841,413,746,112
474080625,520980,1560760,17046,4252,1410
474080666,43316,121766,6,28,14
475080625,977164,3175486,2622,8558,2961
475080666,1070109,2873804,54991,19422,2088
475080791,990240,2777573,53131,20485,1894
475080833,979313,2578748,53039,18865,1689
475081416,713160,1818039,2101,7440,1921
475081500,710147,1809776,1462,7239,1657
475081625,154932,211643,16437,1036,156
476080666,161951,541610,964,1910,549
476080750,1009695,3154347,55969,19809,2528
476080791,960606,3069570,20133,8874,2624
477080708,408633,1329062,1362,4046,1378
477080791,283119,910861,1896,2918,575
477080833,502891,1676685,1962,4741,1768
477080916,276436,887264,1179,2598,978
477081250,47873,66734,577,693,134
478080625,154728,497424,950,1848,536
478080666,85300,124023,14710,5200,11
478080750,82413,257266,666,1127,189
478080791,159343,242497,9038,3728,5
479080625,16126,54461,106,176,19
479080666,17044,52405,3,25,9
479080750,42679,111821,677,829,135
479080833,538539,1066996,36086,13124,287
480080666,97935,148203,0,0,0
480080750,527650,1795359,3334,4606,1852
480080791,328373,1115129,17651,2932,777
480080958,894412,2605839,53963,17016,1721
481080791,519966,1678534,1799,4478,1580
481080958,170906,186735,0,0,0
481081250,171926,566753,898,1636,670
481081375,430015,1366588,9919,4333,1151
481081958,224793,361172,2565,1742,245
481082125,232053,202595,16486,797,108
482080791,632823,1846537,53454,15344,1043
482081125,82031,204149,172,902,198
482081333,972404,2378565,2167,10015,2603
482081458,462766,1209455,30792,13476,580
482081541,150861,476105,652,1540,517
482081708,625249,2148073,2823,5668,1904
483080875,45741,66908,0,0,0
483081166,301280,1002343,1517,2411,1159
483081208,104633,277210,274,1468,196
483081250,45236,140510,616,904,123
483081291,1103874,3578038,19765,11240,3265
484080583,91752,261727,876,1353,263
484080833,215358,718589,17471,2367,486
484081000,326531,1079684,1284,3327,900
484081208,435261,1166057,36720,13890,629
484081541,27743,59543,98,567,73
485080625,275342,907754,690,2265,968
485080708,561799,1489377,36823,14393,629
485080791,268829,911229,1526,3142,843
485080833,168335,542941,846,2066,418
486080666,881758,2879087,2594,7636,3104
486080708,499197,1468592,41684,14063,615
486080791,495241,1624615,1459,4343,1768
486080958,1067103,3414418,55317,18786,2830
487080666,126238,385592,802,1550,372
487080708,580583,1836490,2527,5225,1904
487080833,172775,576532,1032,1962,709
488080583,130468,297370,17158,971,120
488080708,790957,2629764,2075,7376,2454
488080833,130678,170325,0,0,0
488081083,791560,2294443,53578,14647,1427
488081458,556949,1395725,1056,5438,1259
489080791,34500,85290,542,773,100
489080958,230768,344132,640,680,3
489081166,80751,257303,437,1032,213
489081250,38922,43685,0,0,0
489081333,131443,292976,494,1528,321
490080583,762237,2522462,2306,7202,2378
490080625,345028,1070919,14332,3471,792
490080708,418933,1344130,1296,3844,1373
490080833,766177,2279459,53743,15595,1249
490081166,370731,952139,886,4027,985
491080583,29237,43273,0,0,0
491080666,33095,114982,5,24,20
491080708,26863,74632,71,275,87
491080833,1799,3923,0,0,0
491081250,44980,80371,390,839,113
492080666,176993,559313,909,1827,644
492080708,777265,2384390,55075,17967,1475
492080791,702330,2319782,1759,6268,2537
492080875,719354,2378826,2478,6522,2616
493080625,12910,36616,56,201,0
493080666,149901,499275,418,1284,420
493080750,14260,48006,287,492,31
493080833,150190,218182,0,0,0
493081250,29836,59689,214,674,15
494080708,478252,1563071,1199,4023,1399
494080791,533614,1698941,2830,4903,1851
494081041,480295,851553,35921,10900,207
494081416,538689,1404285,39364,15461,655
494081583,311491,555512,17216,2985,378
494081666,300977,771838,516,3031,865
494084375,929540,2374841,10675,8382,1867
495080666,88043,295467,655,1375,206
495080750,235263,782042,873,2307,645
495080791,84551,280789,343,655,378
495080875,93051,141793,0,0,0
496080625,57316,86762,0,0,0
496080666,55631,147693,850,1153,147
496080791,834904,2156282,53363,14503,1016
497080708,176653,568921,1066,2040,453
497080750,416719,1408246,2505,4224,1571
497080833,75695,252738,454,1148,147
497080875,152268,501713,532,1581,423
498080625,258492,799381,1266,2760,844
498080708,260942,504331,34600,11460,53
498080750,21506,27534,0,0,0
498080833,21221,66929,63,249,25
498081291,53017,79737,66,437,29
498081375,44162,90619,293,976,143
499080625,40640,128483,480,660,87
499080750,222113,742451,548,1815,606
499080833,65225,91758,0,0,0
499082833,36980,57621,134,572,28
500080666,410818,1197064,36293,14739,569
500080750,407226,941300,26607,12699,416
500080875,559134,1564869,17847,3860,1266
500081541,1107221,2237057,18211,8461,1608
501080625,108434,353847,665,1024,197
501080666,509051,779743,35480,12506,69
501081416,169609,398842,661,2071,294
502080708,88719,273255,741,1333,368
502080791,667865,1519704,36663,13742,501
502080875,235391,650583,17366,2272,438
502081166,312095,688105,35985,12344,248
502081208,89542,223497,275,1427,272
503080875,109763,354753,1064,1247,326
503081125,17121,50558,5,24,9
503081291,116821,220213,19813,5649,9
503081541,113973,339595,857,1712,380
503081916,199542,460319,494,2070,444
504080666,277171,908934,1015,2487,877
504081083,330210,630908,35573,11381,127
504081208,330236,1064767,1058,3173,1195
504081458,146436,471647,23681,9368,216
504081791,95849,246197,301,1323,185
505080583,266069,884524,631,2378,815
505080666,146546,502025,857,2070,456
505080750,1150696,3739161,57177,19544,2984
505080833,906376,2992673,2512,8266,3172
506080583,243846,351695,2266,1206,3
506080625,243128,760550,1181,2807,821
506080708,205170,689826,1259,2485,608
506080833,243859,774872,708,1903,921
506081166,179976,389505,548,2139,335
506081333,102279,182713,30742,8987,132
507080625,714598,2377491,1834,6544,2064
507080666,60624,189693,277,637,195
507081125,737718,1839812,1883,7718,1899
507081166,872093,2687720,53756,17973,1852
507081208,62549,73285,0,0,0
508080583,45192,130650,675,933,143
508080666,138840,426310,1067,1588,480
508081083,21198,25831,0,0,0
508081208,26497,34265,0,0,0
508081500,86773,171844,357,1356,163
509080666,629963,2104357,1392,6170,1898
509080750,636288,1773952,53356,16015,896
509080791,204449,650706,967,2430,638
509080875,633433,2050561,2385,6109,2145
510080666,32904,105630,250,358,51
510080833,35776,116482,26,77,21
510081083,5282,9973,29,108,0
510081208,139231,156376,0,0,0
510081583,108081,95640,6198,347,19
511080875,560086,1760354,18663,4900,1244
511081166,623562,1574438,36350,13691,652
511081541,335400,829125,930,3464,934
511081625,324479,787689,1011,3513,747
511081791,670406,1670795,53184,15630,902
511081833,1174738,3049335,2041,10330,2847
511081875,624689,2064970,2817,5629,2206
511081916,1051155,2541056,3399,10978,2565
512080541,327111,1128999,1393,3941,1061
512080583,536848,1435016,37510,13426,654
512080666,216203,614362,17530,2229,439
512080750,409751,1354711,17852,3878,934
513080875,393877,1264712,1466,3286,1487
513081250,183539,557741,1407,2733,614
513081375,318958,1043876,1129,2946,1102
513081625,403351,898310,36130,12860,244
513082000,89285,160780,4446,2672,194
514080791,893114,2943394,2095,7938,2921
514080916,26147,81445,5,28,14
514081208,22344,57047,470,552,26
514081333,27281,39653,4076,0,0
514081708,441971,1053500,1372,5019,1120
515080666,391278,559795,24657,8367,25
515080750,121959,392795,798,1639,398
515080791,391245,1320266,18234,3524,1023
516080625,163694,543981,1032,2014,490
516080708,653424,1634807,49309,15481,726
516080791,575075,1803764,17876,5399,1329
516080833,466183,1525159,1637,4932,1618
517080708,259352,840860,829,2753,804
517080750,488703,1568147,18226,4322,1469
517080833,263193,670063,35977,11680,229
517080875,733931,2138026,53426,16277,1366
517083666,61600,115665,438,866,91
518080666,85367,249033,744,1218,284
518080750,121888,392797,795,1589,381
518080791,265661,431944,34204,10103,18
519080666,271570,783653,36031,13366,319
519080750,64247,186347,692,1007,131
519080833,371134,1194092,1668,3817,1292
519080875,412886,1373104,2309,4079,1592
520080958,22750,46276,320,376,95
520081083,71298,91417,0,0,0
520081416,24389,74791,2,35,13
520081541,71797,185296,855,1093,165
520081958,30857,57521,273,578,23
520082125,628310,1608188,1477,6446,1303
521080583,10529,13953,57,75,0
521080625,237419,273937,34432,11116,17
521080916,46813,49815,0,0,0
521081083,1646,3910,0,0,0
522080791,401461,1264130,1769,4327,1186
522080916,206397,648886,1101,2407,644
522081083,690784,2005897,54631,16630,1133
522081500,276164,699027,708,3000,519
522081541,657342,1474039,36751,13486,412
522081666,277591,734253,630,2945,827
523080666,112658,381166,210,1045,407
523080750,117280,395894,840,1635,371
523080833,121669,223580,34282,11283,24
524080666,62970,192762,697,994,267
524080708,69111,113895,11024,3038,6
524080791,1316,3924,0,0,0
524080875,1655,3903,0,0,0
525080708,8000,7669,0,0,0
525080791,167302,467540,12826,1404,281
525081125,1459,3987,0,0,0
526080583,6239,10756,20,117,26
526080666,180001,605436,1701,2169,264
526080791,528389,1499892,46286,14642,716
526080833,489536,1524367,18796,4549,1231
526081333,165288,430448,409,2024,323
526081500,83240,200017,244,1206,177
526081583,11390,10351,30,155,5
527080708,175764,237933,0,0,0
527080791,134902,444820,1037,1459,488
527080833,107315,333923,912,1386,419
528080625,37666,116942,752,727,132
528080708,44855,71237,9412,3050,8
528081083,45401,126523,38,81,19
528081208,41120,41609,0,0,0
528081708,120928,287687,370,1365,296
529080625,550264,1508503,44827,15280,747
529080750,314964,1025226,18383,3149,818
529081083,301024,982144,979,3009,856
